,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,63.0,58.0,69.0,59.0
1,2014-10-01,63.0,58.0,69.0,59.0
2,2014-11-01,63.0,58.0,69.0,59.0
3,2014-12-01,63.0,58.0,69.0,59.0
4,2015-01-01,65.0,65.0,72.0,56.0
5,2015-02-01,65.0,65.0,72.0,56.0
6,2015-03-01,65.0,65.0,72.0,56.0
7,2015-04-01,65.0,65.0,72.0,56.0
8,2015-05-01,65.0,65.0,72.0,56.0
9,2015-06-01,65.0,65.0,72.0,56.0
10,2015-07-01,65.0,65.0,72.0,56.0
11,2015-08-01,65.0,65.0,72.0,56.0
12,2015-09-01,65.0,65.0,72.0,56.0
13,2015-10-01,65.0,65.0,72.0,56.0
14,2015-11-01,65.0,65.0,72.0,56.0
15,2015-12-01,65.0,65.0,72.0,56.0
16,2016-01-01,64.75,65.4,71.75,56.28
17,2016-02-01,64.75,65.4,71.75,56.28
18,2016-03-01,64.75,65.4,71.75,56.28
19,2016-04-01,64.22,65.4,71.75,54.76
20,2016-05-01,64.22,65.4,71.75,54.76
21,2016-06-01,64.72,65.4,73.0,54.76
22,2016-07-01,67.9,68.0,67.75,68.01
23,2016-08-01,67.9,68.0,67.75,68.01
24,2016-09-01,67.31,68.0,67.75,66.32
25,2016-10-01,67.31,68.0,67.75,66.32
26,2016-11-01,67.31,68.0,67.75,66.32
27,2016-12-01,67.31,68.0,67.75,66.32
28,2017-01-01,69.27,75.84,67.75,66.32
29,2017-02-01,69.27,75.84,67.75,66.32
30,2017-03-01,69.27,75.84,67.75,66.32
31,2017-04-01,69.27,75.84,67.75,66.32
32,2017-05-01,65.77,75.84,59.0,66.32
33,2017-06-01,65.77,75.84,59.0,66.32
34,2017-07-01,65.77,75.84,59.0,66.32
35,2017-08-01,65.77,75.84,59.0,66.32
36,2017-09-01,65.77,75.84,59.0,66.32
37,2017-10-01,62.9,69.54,57.1,64.78
38,2017-11-01,62.9,69.54,57.1,64.78
39,2017-12-01,62.9,69.54,57.1,64.78
40,2018-01-01,62.9,69.54,57.1,64.78
41,2018-02-01,62.9,69.54,57.1,64.78
42,2018-03-01,62.9,69.54,57.1,64.78
43,2018-04-01,65.63,71.54,62.67,64.78
44,2018-05-01,65.63,71.54,62.67,64.78
45,2018-06-01,65.63,71.54,62.67,64.78
46,2018-07-01,65.63,71.54,62.67,64.78
47,2018-08-01,65.63,71.54,62.67,64.78
48,2018-09-01,65.63,71.54,62.67,64.78
49,2018-10-01,65.5,71.54,62.37,64.76
50,2018-11-01,65.3,70.74,62.37,64.76
51,2018-12-01,65.3,70.74,62.37,64.76
52,2019-01-01,65.3,70.74,62.37,64.76
53,2019-02-01,65.3,70.74,62.37,64.76
54,2019-03-01,66.61,70.74,65.65,64.76
55,2019-04-01,66.61,70.74,65.65,64.76
56,2019-05-01,66.61,70.74,65.65,64.76
57,2019-06-01,66.77,70.74,67.13,63.53
58,2019-07-01,66.77,70.74,67.13,63.53
59,2019-08-01,66.77,70.74,67.13,63.53
60,2019-09-01,66.77,70.74,67.13,63.53
61,2019-10-01,66.77,70.74,67.13,63.53
62,2019-11-01,66.8,70.84,67.13,63.53
63,2019-12-01,23.71,7.42,9.71,6.57
64,2020-01-01,23.65,7.36,9.71,6.57
65,2020-02-01,23.65,7.36,9.71,6.57
66,2020-03-01,23.65,7.36,9.71,6.57
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,24.36,7.36,10.22,6.78
71,2020-08-01,23.57,6.57,10.22,6.78
72,2020-09-01,,,,
73,2020-10-01,26.79,7.83,10.22,8.74
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,26.34,7.33,10.25,8.76
77,2021-02-01,26.34,7.33,10.25,8.76
78,2021-03-01,26.34,7.33,10.25,8.76
79,2021-04-01,,,,
80,2021-05-01,23.82,6.7,7.31,9.82
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,23.82,6.7,7.31,9.82
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,24.33,6.53,8.44,9.36
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,24.33,6.53,8.44,9.36
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,21.93,5.76,7.41,8.76
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,20.28,5.91,8.08,6.29
