,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,51.0,55.0,47.0,54.0
1,2014-10-01,48.0,45.0,47.0,53.0
2,2014-11-01,48.0,45.0,47.0,53.0
3,2014-12-01,48.0,45.0,47.0,53.0
4,2015-01-01,48.0,45.0,47.0,53.0
5,2015-02-01,48.0,45.0,47.0,53.0
6,2015-03-01,48.0,45.0,47.0,54.0
7,2015-04-01,48.0,45.0,47.0,54.0
8,2015-05-01,48.0,45.0,47.0,54.0
9,2015-06-01,48.0,45.0,47.0,54.0
10,2015-07-01,48.0,45.0,47.0,54.0
11,2015-08-01,48.0,45.0,47.0,54.0
12,2015-09-01,48.0,45.0,47.0,54.0
13,2015-10-01,48.0,44.0,47.0,54.0
14,2015-11-01,48.0,44.0,47.0,54.0
15,2015-12-01,48.0,45.0,47.0,54.0
16,2016-01-01,49.74,47.7,48.15,53.89
17,2016-02-01,49.74,47.7,48.15,53.89
18,2016-03-01,49.74,47.7,48.15,53.89
19,2016-04-01,47.63,50.69,48.15,43.87
20,2016-05-01,47.63,50.69,48.15,43.87
21,2016-06-01,47.63,50.69,48.15,43.87
22,2016-07-01,47.25,50.69,47.21,43.87
23,2016-08-01,47.25,50.69,47.21,43.87
24,2016-09-01,46.45,48.03,47.21,43.87
25,2016-10-01,46.45,48.03,47.21,43.87
26,2016-11-01,51.64,52.19,49.71,53.67
27,2016-12-01,51.64,52.19,49.71,53.67
28,2017-01-01,50.6,52.19,48.78,51.43
29,2017-02-01,50.6,52.19,48.78,51.43
30,2017-03-01,50.6,52.19,48.78,51.43
31,2017-04-01,50.6,52.19,48.78,51.43
32,2017-05-01,50.6,52.19,48.78,51.43
33,2017-06-01,50.6,52.19,48.78,51.43
34,2017-07-01,50.6,52.19,48.78,51.43
35,2017-08-01,57.68,59.07,57.34,56.74
36,2017-09-01,57.68,59.07,57.34,56.74
37,2017-10-01,58.9,62.0,57.44,57.73
38,2017-11-01,58.9,62.0,57.44,57.73
39,2017-12-01,58.9,62.0,57.44,57.73
40,2018-01-01,58.9,62.0,57.44,57.73
41,2018-02-01,58.9,62.0,57.44,57.73
42,2018-03-01,58.9,62.0,57.44,57.73
43,2018-04-01,58.9,62.0,57.44,57.73
44,2018-05-01,58.9,62.0,57.44,57.73
45,2018-06-01,57.57,62.45,57.78,52.41
46,2018-07-01,57.57,62.45,57.78,52.41
47,2018-08-01,57.57,62.45,57.78,52.41
48,2018-09-01,57.57,62.45,57.78,52.41
49,2018-10-01,57.57,62.45,57.78,52.41
50,2018-11-01,57.65,62.72,57.78,52.41
51,2018-12-01,57.65,62.72,57.78,52.41
52,2019-01-01,57.65,62.72,57.78,52.41
53,2019-02-01,59.27,68.12,57.77,52.41
54,2019-03-01,59.27,68.12,57.77,52.41
55,2019-04-01,59.27,68.12,57.77,52.41
56,2019-05-01,60.92,73.62,57.77,52.41
57,2019-06-01,60.92,73.62,57.77,52.41
58,2019-07-01,60.92,73.62,57.77,52.41
59,2019-08-01,60.92,73.62,57.77,52.41
60,2019-09-01,60.92,73.62,57.77,52.41
61,2019-10-01,60.83,73.31,57.77,52.41
62,2019-11-01,60.83,73.31,57.77,52.41
63,2019-12-01,15.54,6.48,4.26,4.8
64,2020-01-01,15.54,6.48,4.26,4.8
65,2020-02-01,15.54,6.48,4.26,4.8
66,2020-03-01,15.54,6.48,4.26,4.8
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,14.46,5.45,4.26,4.75
71,2020-08-01,14.46,5.45,4.26,4.75
72,2020-09-01,,,,
73,2020-10-01,15.16,4.88,5.53,4.75
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,15.16,4.88,5.53,4.75
77,2021-02-01,15.16,4.88,5.53,4.75
78,2021-03-01,15.16,4.88,5.53,4.75
79,2021-04-01,,,,
80,2021-05-01,14.13,5.29,4.51,4.33
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,14.72,5.88,4.51,4.33
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,14.72,5.88,4.51,4.33
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,14.72,5.88,4.51,4.33
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,14.21,6.38,3.83,3.99
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,13.98,6.15,3.83,3.99
