,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2015-10-01,73.0,76.0,71.0,70.0
1,2015-11-01,73.0,76.0,71.0,70.0
2,2015-12-01,73.0,77.0,71.0,70.0
3,2016-01-01,72.69,76.53,71.11,70.21
4,2016-02-01,72.69,76.53,71.11,70.21
5,2016-03-01,72.69,76.53,71.11,70.21
6,2016-04-01,71.17,75.31,71.1,66.31
7,2016-05-01,71.17,75.31,71.1,66.31
8,2016-06-01,70.92,75.31,70.27,66.31
9,2016-07-01,70.52,75.45,68.6,66.48
10,2016-08-01,70.52,75.45,68.6,66.48
11,2016-09-01,70.52,75.45,68.6,66.48
12,2016-10-01,70.52,75.45,68.6,66.48
13,2016-11-01,70.52,75.45,68.6,66.48
14,2016-12-01,70.52,75.45,68.6,66.48
15,2017-01-01,67.44,71.75,63.1,66.4
16,2017-02-01,67.44,71.75,63.1,66.4
17,2017-03-01,67.44,71.75,63.1,66.4
18,2017-04-01,67.44,71.75,63.1,66.4
19,2017-05-01,69.59,73.53,64.47,69.73
20,2017-06-01,69.59,73.53,64.47,69.73
21,2017-07-01,69.59,73.53,64.47,69.73
22,2017-08-01,69.59,73.53,64.47,69.73
23,2017-09-01,69.59,73.53,64.47,69.73
24,2017-10-01,69.69,71.16,66.38,71.05
25,2017-11-01,69.69,71.16,66.38,71.05
26,2017-12-01,69.69,71.16,66.38,71.05
27,2018-01-01,69.69,71.16,66.38,71.05
28,2018-02-01,69.69,71.16,66.38,71.05
29,2018-03-01,69.69,71.16,66.38,71.05
30,2018-04-01,69.69,71.16,66.38,71.05
31,2018-05-01,69.69,71.16,66.38,71.05
32,2018-06-01,69.69,71.16,66.38,71.05
33,2018-07-01,69.69,71.16,66.38,71.05
34,2018-08-01,72.42,72.15,72.94,72.27
35,2018-09-01,72.42,72.15,72.94,72.27
36,2018-10-01,72.24,71.67,72.94,72.27
37,2018-11-01,72.09,71.27,72.94,72.27
38,2018-12-01,72.09,71.27,72.94,72.27
39,2019-01-01,72.13,71.38,72.94,72.27
40,2019-02-01,72.31,71.86,72.94,72.27
41,2019-03-01,72.11,71.86,72.26,72.27
42,2019-04-01,72.11,71.86,72.26,72.27
43,2019-05-01,72.11,71.86,72.26,72.27
44,2019-06-01,72.11,71.86,72.26,72.27
45,2019-07-01,72.11,71.86,72.26,72.27
46,2019-08-01,72.11,71.86,72.26,72.27
47,2019-09-01,72.11,71.86,72.26,72.27
48,2019-10-01,72.11,71.86,72.26,72.27
49,2019-11-01,72.16,71.98,72.26,72.27
50,2019-12-01,69.22,72.9,61.31,72.27
51,2020-01-01,13.38,6.1,1.41,5.86
52,2020-02-01,13.62,6.1,1.41,6.11
53,2020-03-01,13.62,6.1,1.41,6.11
54,2020-04-01,,,,
55,2020-05-01,,,,
56,2020-06-01,,,,
57,2020-07-01,13.43,5.91,1.41,6.11
58,2020-08-01,13.01,5.49,1.41,6.11
59,2020-09-01,,,,
60,2020-10-01,13.03,5.51,1.41,6.11
61,2020-11-01,,,,
62,2020-12-01,,,,
63,2021-01-01,12.71,5.37,1.57,5.77
64,2021-02-01,12.71,5.37,1.57,5.77
65,2021-03-01,12.71,5.37,1.57,5.77
66,2021-04-01,,,,
67,2021-05-01,12.71,5.37,1.57,5.77
68,2021-06-01,,,,
69,2021-07-01,,,,
70,2021-08-01,,,,
71,2021-09-01,,,,
72,2021-10-01,,,,
73,2021-11-01,,,,
74,2021-12-01,,,,
75,2022-01-01,,,,
76,2022-02-01,12.69,5.35,1.57,5.77
77,2022-03-01,,,,
78,2022-04-01,,,,
79,2022-05-01,14.37,8.2,0.0,6.16
80,2022-06-01,,,,
81,2022-07-01,,,,
82,2022-08-01,14.31,8.15,0.0,6.16
83,2022-09-01,,,,
84,2022-10-01,,,,
85,2022-11-01,,,,
86,2022-12-01,,,,
87,2023-01-01,,,,
88,2023-02-01,,,,
89,2023-03-01,,,,
90,2023-04-01,,,,
91,2023-05-01,,,,
92,2023-06-01,,,,
93,2023-07-01,,,,
94,2023-08-01,,,,
95,2023-09-01,13.04,6.82,0.0,6.22
