,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,75.0,71.0,75.0,77.0
1,2014-10-01,73.0,71.0,75.0,77.0
2,2014-11-01,75.0,71.0,75.0,77.0
3,2014-12-01,75.0,71.0,75.0,77.0
4,2015-01-01,75.0,71.0,75.0,77.0
5,2015-02-01,75.0,71.0,75.0,77.0
6,2015-03-01,74.0,71.0,74.0,77.0
7,2015-04-01,74.0,71.0,74.0,77.0
8,2015-05-01,74.0,71.0,74.0,77.0
9,2015-06-01,74.0,71.0,74.0,77.0
10,2015-07-01,74.0,71.0,74.0,77.0
11,2015-08-01,76.0,71.0,78.0,77.0
12,2015-09-01,76.0,71.0,78.0,77.0
13,2015-10-01,76.0,71.0,78.0,77.0
14,2015-11-01,76.0,71.0,78.0,77.0
15,2015-12-01,76.0,71.0,78.0,77.0
16,2016-01-01,75.87,71.19,78.01,76.78
17,2016-02-01,75.87,71.19,78.01,76.78
18,2016-03-01,75.84,71.19,78.01,76.69
19,2016-04-01,75.46,71.2,78.0,75.6
20,2016-05-01,75.46,71.2,78.0,75.6
21,2016-06-01,75.19,71.2,77.32,75.6
22,2016-07-01,77.73,76.0,78.01,78.64
23,2016-08-01,77.73,76.0,78.01,78.64
24,2016-09-01,77.73,76.0,78.01,78.64
25,2016-10-01,77.73,76.0,78.01,78.64
26,2016-11-01,77.73,76.0,78.01,78.64
27,2016-12-01,77.73,76.0,78.01,78.64
28,2017-01-01,77.73,76.0,78.01,78.64
29,2017-02-01,77.73,76.0,78.01,78.64
30,2017-03-01,78.0,76.0,78.7,78.64
31,2017-04-01,78.0,76.0,78.7,78.64
32,2017-05-01,77.29,73.2,77.34,80.17
33,2017-06-01,77.29,73.2,77.34,80.17
34,2017-07-01,77.29,73.2,77.34,80.17
35,2017-08-01,77.96,73.2,77.34,82.07
36,2017-09-01,77.96,73.2,77.34,82.07
37,2017-10-01,78.22,72.0,78.74,82.07
38,2017-11-01,78.22,72.0,78.74,82.07
39,2017-12-01,78.22,72.0,78.74,82.07
40,2018-01-01,78.22,72.0,78.74,82.07
41,2018-02-01,78.22,72.0,78.74,82.07
42,2018-03-01,78.22,72.0,78.74,82.07
43,2018-04-01,78.22,72.0,78.74,82.07
44,2018-05-01,78.22,72.0,78.74,82.07
45,2018-06-01,76.63,72.0,78.81,77.44
46,2018-07-01,76.63,72.0,78.81,77.44
47,2018-08-01,76.63,72.0,78.81,77.44
48,2018-09-01,76.63,72.0,78.81,77.44
49,2018-10-01,76.63,72.0,78.81,77.44
50,2018-11-01,76.33,70.8,78.81,77.44
51,2018-12-01,76.33,70.8,78.81,77.44
52,2019-01-01,76.33,70.8,78.81,77.44
53,2019-02-01,76.33,70.8,78.81,77.44
54,2019-03-01,76.9,70.8,80.23,77.44
55,2019-04-01,76.9,70.8,80.23,77.44
56,2019-05-01,79.82,72.1,82.32,82.48
57,2019-06-01,79.82,72.1,82.32,82.48
58,2019-07-01,79.82,72.1,82.32,82.48
59,2019-08-01,79.82,72.1,82.32,82.48
60,2019-09-01,79.82,72.1,82.32,82.48
61,2019-10-01,79.82,72.1,82.32,82.48
62,2019-11-01,79.82,72.1,82.32,82.48
63,2019-12-01,80.32,73.3,81.78,83.66
64,2020-01-01,15.3,5.8,1.59,7.91
65,2020-02-01,15.3,5.8,1.59,7.91
66,2020-03-01,15.3,5.8,1.59,7.91
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,15.24,5.81,1.59,7.84
71,2020-08-01,15.24,5.81,1.59,7.84
72,2020-09-01,,,,
73,2020-10-01,15.26,5.83,1.59,7.84
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,10.65,5.25,1.59,3.8
77,2021-02-01,10.65,5.25,1.59,3.8
78,2021-03-01,10.46,5.07,1.59,3.8
79,2021-04-01,,,,
80,2021-05-01,10.66,5.26,1.59,3.8
