,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,71.0,78.0,66.0,73.0
1,2014-10-01,71.0,78.0,66.0,73.0
2,2014-11-01,71.0,78.0,66.0,73.0
3,2014-12-01,71.0,78.0,66.0,73.0
4,2015-01-01,71.0,78.0,66.0,73.0
5,2015-02-01,71.0,78.0,66.0,73.0
6,2015-03-01,72.0,78.0,67.0,73.0
7,2015-04-01,72.0,78.0,67.0,73.0
8,2015-05-01,72.0,78.0,67.0,73.0
9,2015-06-01,72.0,78.0,67.0,73.0
10,2015-07-01,64.0,63.0,62.0,65.0
11,2015-08-01,64.0,63.0,62.0,65.0
12,2015-09-01,64.0,63.0,62.0,65.0
13,2015-10-01,64.0,62.0,62.0,65.0
14,2015-11-01,64.0,62.0,62.0,65.0
15,2015-12-01,64.0,63.0,62.0,66.0
16,2016-01-01,63.55,62.6,62.43,65.5
17,2016-02-01,63.55,62.6,62.43,65.5
18,2016-03-01,63.55,62.6,62.43,65.5
19,2016-04-01,65.12,62.6,63.43,68.85
20,2016-05-01,65.12,62.6,63.43,68.85
21,2016-06-01,65.12,62.6,63.43,68.85
22,2016-07-01,65.12,62.6,63.43,68.85
23,2016-08-01,65.12,62.6,63.43,68.85
24,2016-09-01,65.12,62.6,63.43,68.85
25,2016-10-01,65.12,62.6,63.43,68.85
26,2016-11-01,62.23,59.6,58.53,68.35
27,2016-12-01,62.23,59.6,58.53,68.35
28,2017-01-01,62.23,59.6,58.53,68.35
29,2017-02-01,62.23,59.6,58.53,68.35
30,2017-03-01,62.23,59.6,58.53,68.35
31,2017-04-01,62.23,59.6,58.53,68.35
32,2017-05-01,62.23,59.6,58.53,68.35
33,2017-06-01,62.23,59.6,58.53,68.35
34,2017-07-01,62.23,59.6,58.53,68.35
35,2017-08-01,62.23,59.6,58.53,68.35
36,2017-09-01,62.23,59.6,58.53,68.35
37,2017-10-01,62.02,54.7,60.22,69.3
38,2017-11-01,62.02,54.7,60.22,69.3
39,2017-12-01,62.02,54.7,60.22,69.3
40,2018-01-01,62.02,54.7,60.22,69.3
41,2018-02-01,62.02,54.7,60.22,69.3
42,2018-03-01,62.02,54.7,60.22,69.3
43,2018-04-01,60.51,54.7,56.16,69.64
44,2018-05-01,60.51,54.7,56.16,69.64
45,2018-06-01,60.51,54.7,56.16,69.64
46,2018-07-01,60.51,54.7,56.16,69.64
47,2018-08-01,60.51,54.7,56.16,69.64
48,2018-09-01,60.51,54.7,56.16,69.64
49,2018-10-01,60.74,55.6,56.16,69.64
50,2018-11-01,60.74,55.6,56.16,69.64
51,2018-12-01,60.74,55.6,56.16,69.64
52,2019-01-01,60.74,55.6,56.16,69.64
53,2019-02-01,60.74,55.6,56.16,69.64
54,2019-03-01,60.74,55.6,56.16,69.64
55,2019-04-01,60.74,55.6,56.16,69.64
56,2019-05-01,63.8,57.0,64.56,67.79
57,2019-06-01,63.8,57.0,64.56,67.79
58,2019-07-01,63.8,57.0,64.56,67.79
59,2019-08-01,63.8,57.0,64.56,67.79
60,2019-09-01,63.8,57.0,64.56,67.79
61,2019-10-01,63.8,57.0,64.56,67.79
62,2019-11-01,64.05,58.0,64.56,67.79
63,2019-12-01,63.29,57.2,64.08,66.75
64,2020-01-01,32.25,8.57,14.59,9.09
65,2020-02-01,32.25,8.57,14.59,9.09
66,2020-03-01,32.25,8.57,14.59,9.09
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,32.25,8.57,14.59,9.09
71,2020-08-01,31.92,8.24,14.59,9.09
72,2020-09-01,,,,
73,2020-10-01,31.94,8.26,14.59,9.09
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,33.31,8.32,15.48,9.51
77,2021-02-01,33.31,8.32,15.48,9.51
78,2021-03-01,33.31,8.32,15.48,9.51
79,2021-04-01,,,,
80,2021-05-01,32.75,8.32,14.92,9.51
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,32.93,8.5,14.92,9.51
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,32.93,8.5,14.92,9.51
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,32.93,8.5,14.92,9.51
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,28.15,7.6,11.63,8.93
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,27.76,7.21,11.63,8.93
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,27.95,7.21,11.82,8.93
