,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,37.09,12.3,4.0,20.79
65,2020-02-01,37.09,12.3,4.0,20.79
66,2020-03-01,36.63,12.3,4.0,20.33
70,2020-07-01,36.82,12.03,4.62,20.16
71,2020-08-01,34.4,11.67,5.06,17.68
73,2020-10-01,34.43,11.69,5.06,17.68
76,2021-01-01,34.43,11.69,5.06,17.68
77,2021-02-01,34.43,11.69,5.06,17.68
78,2021-03-01,34.43,11.69,5.06,17.68
80,2021-05-01,34.43,11.69,5.06,17.68
84,2021-09-01,30.9,11.86,4.21,14.83
89,2022-02-01,30.96,11.94,4.21,14.8
92,2022-05-01,30.96,11.94,4.21,14.8
95,2022-08-01,28.52,10.84,3.72,13.96
108,2023-09-01,28.26,11.03,3.99,13.24
