,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,12.76,4.72,2.45,5.58
65,2020-02-01,12.76,4.72,2.45,5.58
66,2020-03-01,12.82,4.79,2.45,5.58
70,2020-07-01,13.05,4.79,2.67,5.58
71,2020-08-01,12.71,4.45,2.67,5.58
73,2020-10-01,12.71,4.45,2.67,5.58
76,2021-01-01,11.8,4.41,2.36,5.03
77,2021-02-01,11.8,4.41,2.36,5.03
78,2021-03-01,11.8,4.41,2.36,5.03
80,2021-05-01,11.8,4.41,2.36,5.03
84,2021-09-01,12.14,4.74,2.36,5.03
89,2022-02-01,12.14,4.74,2.36,5.03
92,2022-05-01,12.19,4.66,2.83,4.7
95,2022-08-01,12.06,4.57,2.79,4.7
108,2023-09-01,15.95,4.47,5.42,6.05
