,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,19.43,6.07,5.46,7.9
65,2020-02-01,18.59,5.8,5.69,7.1
66,2020-03-01,18.59,5.8,5.69,7.1
70,2020-07-01,18.38,5.6,5.69,7.1
71,2020-08-01,18.38,5.6,5.69,7.1
73,2020-10-01,18.41,5.62,5.69,7.1
76,2021-01-01,18.26,5.62,5.69,6.95
77,2021-02-01,18.51,5.62,5.85,7.05
78,2021-03-01,18.88,5.62,5.97,7.29
80,2021-05-01,18.95,5.62,5.97,7.35
84,2021-09-01,18.7,5.38,5.97,7.35
89,2022-02-01,18.7,5.38,5.97,7.35
92,2022-05-01,21.28,5.65,6.96,8.67
95,2022-08-01,21.47,5.83,6.96,8.67
100,2023-01-01,21.21,5.57,6.96,8.67
108,2023-09-01,21.37,5.51,7.25,8.61
