,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,28.99,7.87,4.64,16.48
65,2020-02-01,28.99,7.87,4.64,16.48
66,2020-03-01,28.94,7.83,4.64,16.48
70,2020-07-01,28.94,7.83,4.64,16.48
71,2020-08-01,28.94,7.83,4.64,16.48
73,2020-10-01,29.11,8.03,4.64,16.45
76,2021-01-01,29.11,8.03,4.64,16.45
77,2021-02-01,29.06,7.98,4.64,16.45
78,2021-03-01,28.76,7.98,4.64,16.15
80,2021-05-01,29.06,7.72,4.8,16.53
84,2021-09-01,29.06,7.72,4.8,16.53
89,2022-02-01,29.01,7.67,4.8,16.53
92,2022-05-01,29.01,7.67,4.8,16.53
95,2022-08-01,29.76,8.8,4.83,16.12
100,2023-01-01,29.63,8.67,4.83,16.12
108,2023-09-01,29.63,8.67,4.83,16.12
