,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,66.0,74.0,60.0,66.0
1,2014-10-01,66.0,74.0,60.0,66.0
2,2014-11-01,66.0,74.0,60.0,66.0
3,2014-12-01,66.0,74.0,60.0,66.0
4,2015-01-01,66.0,74.0,60.0,66.0
5,2015-02-01,67.0,75.0,60.0,69.0
6,2015-03-01,66.0,75.0,60.0,66.0
7,2015-04-01,66.0,75.0,60.0,66.0
8,2015-05-01,66.0,75.0,60.0,66.0
9,2015-06-01,66.0,75.0,60.0,66.0
10,2015-07-01,66.0,75.0,60.0,66.0
11,2015-08-01,69.0,75.0,68.0,66.0
12,2015-09-01,69.0,75.0,68.0,66.0
13,2015-10-01,69.0,75.0,68.0,66.0
14,2015-11-01,69.0,75.0,68.0,66.0
15,2015-12-01,69.0,75.0,68.0,66.0
16,2016-01-01,69.1,75.29,67.88,66.31
17,2016-02-01,69.1,75.29,67.88,66.31
18,2016-03-01,69.1,75.29,67.88,66.31
19,2016-04-01,63.92,75.29,67.86,53.36
20,2016-05-01,62.97,75.29,67.86,50.98
21,2016-06-01,64.55,75.29,67.86,54.94
22,2016-07-01,64.27,75.29,67.05,54.94
23,2016-08-01,64.27,75.29,67.05,54.94
24,2016-09-01,64.27,75.29,67.05,54.94
25,2016-10-01,64.27,75.29,67.05,54.94
26,2016-11-01,64.27,75.29,67.05,54.94
27,2016-12-01,63.42,71.89,67.05,54.94
28,2017-01-01,63.19,71.89,66.37,54.96
29,2017-02-01,63.19,71.89,66.37,54.96
30,2017-03-01,63.19,71.89,66.37,54.96
31,2017-04-01,63.19,71.89,66.37,54.96
32,2017-05-01,63.46,71.89,67.15,54.96
33,2017-06-01,63.46,71.89,67.15,54.96
34,2017-07-01,63.46,71.89,67.15,54.96
35,2017-08-01,63.05,71.89,65.98,54.96
36,2017-09-01,63.05,71.89,65.98,54.96
37,2017-10-01,63.31,69.79,66.13,56.79
38,2017-11-01,63.31,69.79,66.13,56.79
39,2017-12-01,63.31,69.79,66.13,56.79
40,2018-01-01,63.31,69.79,66.13,56.79
41,2018-02-01,63.31,69.79,66.13,56.79
42,2018-03-01,63.31,69.79,66.13,56.79
43,2018-04-01,63.31,69.79,66.13,56.79
44,2018-05-01,63.31,69.79,66.13,56.79
45,2018-06-01,63.31,69.79,66.13,56.79
46,2018-07-01,63.31,69.79,66.13,56.79
47,2018-08-01,61.51,69.79,66.13,52.29
48,2018-09-01,61.51,69.79,66.13,52.29
49,2018-10-01,59.95,68.79,66.91,48.34
50,2018-11-01,59.65,67.59,66.91,48.34
51,2018-12-01,59.55,67.19,66.91,48.34
52,2019-01-01,58.93,68.49,64.2,48.34
53,2019-02-01,58.93,68.49,64.2,48.34
54,2019-03-01,58.93,68.49,64.2,48.34
55,2019-04-01,58.93,68.49,64.2,48.34
56,2019-05-01,58.93,68.49,64.2,48.34
57,2019-06-01,58.93,68.49,64.2,48.34
58,2019-07-01,58.93,68.49,64.2,48.34
59,2019-08-01,58.93,68.49,64.2,48.34
60,2019-09-01,58.76,65.45,64.2,49.83
61,2019-10-01,58.76,65.45,64.2,49.83
62,2019-11-01,61.13,64.95,69.61,51.33
63,2019-12-01,58.65,65.15,66.81,47.44
64,2020-01-01,16.11,5.37,1.9,8.84
65,2020-02-01,15.03,5.11,1.9,8.03
66,2020-03-01,15.23,5.11,1.9,8.23
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,15.35,5.11,2.01,8.23
71,2020-08-01,15.35,5.11,2.01,8.23
72,2020-09-01,,,,
73,2020-10-01,15.37,5.13,2.01,8.23
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,14.82,5.34,1.85,7.63
77,2021-02-01,14.82,5.34,1.85,7.63
78,2021-03-01,15.04,5.34,2.08,7.63
79,2021-04-01,,,,
80,2021-05-01,15.04,5.34,2.08,7.63
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,15.04,5.34,2.08,7.63
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,14.79,5.06,2.17,7.56
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,14.79,5.06,2.17,7.56
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,14.72,5.06,2.04,7.63
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,14.35,4.86,1.93,7.55
