,timestamp,esgScore,governanceScore,environmentScore,socialScore
25,2020-01-01,14.23,5.65,1.68,6.89
26,2020-02-01,14.53,5.95,1.68,6.89
27,2020-03-01,14.55,5.95,1.68,6.91
31,2020-07-01,14.55,5.95,1.68,6.91
32,2020-08-01,14.55,5.95,1.68,6.91
34,2020-10-01,14.33,5.73,1.68,6.91
37,2021-01-01,14.2,5.59,1.16,7.46
38,2021-02-01,13.52,4.91,1.16,7.46
39,2021-03-01,13.52,4.91,1.16,7.46
41,2021-05-01,13.52,4.91,1.16,7.46
45,2021-09-01,13.52,4.91,1.16,7.46
50,2022-02-01,14.28,4.7,1.23,8.35
53,2022-05-01,13.87,5.11,1.23,7.53
56,2022-08-01,13.51,5.11,1.29,7.11
61,2023-01-01,13.33,4.91,1.23,7.2
69,2023-09-01,14.84,5.18,1.1,8.57
