,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,61.0,68.0,52.0,61.0
1,2014-10-01,61.0,68.0,52.0,61.0
2,2014-11-01,61.0,68.0,52.0,61.0
3,2014-12-01,61.0,68.0,52.0,61.0
4,2015-01-01,60.0,61.0,56.0,63.0
5,2015-02-01,60.0,61.0,56.0,63.0
6,2015-03-01,61.0,61.0,57.0,63.0
7,2015-04-01,63.0,64.0,58.0,67.0
8,2015-05-01,63.0,64.0,58.0,67.0
9,2015-06-01,63.0,64.0,58.0,67.0
10,2015-07-01,63.0,64.0,58.0,67.0
11,2015-08-01,63.0,64.0,58.0,67.0
12,2015-09-01,63.0,64.0,58.0,67.0
13,2015-10-01,63.0,64.0,58.0,67.0
14,2015-11-01,63.0,64.0,58.0,67.0
15,2015-12-01,65.0,66.0,58.0,70.0
16,2016-01-01,64.98,66.0,57.68,70.21
17,2016-02-01,64.98,66.0,57.68,70.21
18,2016-03-01,64.98,66.0,57.68,70.21
19,2016-04-01,63.85,67.07,58.11,65.42
20,2016-05-01,63.85,67.07,58.11,65.42
21,2016-06-01,63.85,67.07,58.11,65.42
22,2016-07-01,62.4,67.07,57.27,61.68
23,2016-08-01,62.4,67.07,57.27,61.68
24,2016-09-01,62.4,67.07,57.27,61.68
25,2016-10-01,62.4,67.07,57.27,61.68
26,2016-11-01,62.4,67.07,57.27,61.68
27,2016-12-01,62.4,67.07,57.27,61.68
28,2017-01-01,64.6,74.6,55.07,61.68
29,2017-02-01,64.6,74.6,55.07,61.68
30,2017-03-01,64.91,74.6,56.1,61.68
31,2017-04-01,64.91,74.6,56.1,61.68
32,2017-05-01,65.07,74.6,56.62,61.68
33,2017-06-01,65.02,74.6,56.45,61.68
34,2017-07-01,65.07,74.6,56.62,61.68
35,2017-08-01,65.02,74.6,56.45,61.68
36,2017-09-01,65.02,74.6,56.45,61.68
37,2017-10-01,64.05,70.65,56.97,62.85
38,2017-11-01,64.05,70.65,56.97,62.85
39,2017-12-01,64.05,70.65,56.97,62.85
40,2018-01-01,64.05,70.65,56.97,62.85
41,2018-02-01,64.05,70.65,56.97,62.85
42,2018-03-01,64.05,70.65,56.97,62.85
43,2018-04-01,64.05,70.65,56.97,62.85
44,2018-05-01,62.37,70.66,51.38,62.85
45,2018-06-01,62.37,70.66,51.38,62.85
46,2018-07-01,63.77,72.42,55.21,61.52
47,2018-08-01,63.77,72.42,55.21,61.52
48,2018-09-01,63.77,72.42,55.21,61.52
49,2018-10-01,63.77,72.42,55.21,61.52
50,2018-11-01,63.77,72.42,55.21,61.52
51,2018-12-01,63.77,72.42,55.21,61.52
52,2019-01-01,63.77,72.42,55.21,61.52
53,2019-02-01,63.77,72.42,55.21,61.52
54,2019-03-01,63.77,72.42,55.21,61.52
55,2019-04-01,63.77,72.42,55.21,61.52
56,2019-05-01,63.77,72.42,55.21,61.52
57,2019-06-01,64.91,72.42,55.21,65.08
58,2019-07-01,65.21,73.79,54.49,65.08
59,2019-08-01,65.21,73.79,54.49,65.08
60,2019-09-01,65.21,73.79,54.49,65.08
61,2019-10-01,65.21,73.79,54.49,65.08
62,2019-11-01,65.52,74.81,52.83,66.4
63,2019-12-01,63.61,75.31,45.83,66.4
64,2020-01-01,23.34,8.62,2.96,11.76
65,2020-02-01,23.34,8.62,2.96,11.76
66,2020-03-01,23.34,8.62,2.96,11.76
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,23.38,8.65,2.96,11.76
71,2020-08-01,23.24,8.65,2.96,11.63
72,2020-09-01,,,,
73,2020-10-01,23.26,8.67,2.96,11.63
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,23.26,8.67,2.96,11.63
77,2021-02-01,19.5,5.78,1.94,11.79
78,2021-03-01,19.5,5.78,1.94,11.79
79,2021-04-01,,,,
80,2021-05-01,19.5,5.78,1.94,11.79
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,19.5,5.78,1.94,11.79
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,16.74,5.36,2.36,9.01
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,16.74,5.36,2.36,9.01
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,17.05,5.39,2.36,9.3
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,17.05,5.39,2.36,9.3
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,16.91,5.57,2.39,8.95
