,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,56.0,52.0,62.0,50.0
1,2014-10-01,56.0,52.0,62.0,50.0
2,2014-11-01,56.0,52.0,62.0,50.0
3,2014-12-01,56.0,52.0,62.0,50.0
4,2015-01-01,56.0,55.0,62.0,50.0
5,2015-02-01,56.0,55.0,62.0,50.0
6,2015-03-01,56.0,55.0,62.0,50.0
7,2015-04-01,56.0,55.0,62.0,50.0
8,2015-05-01,56.0,55.0,62.0,50.0
9,2015-06-01,56.0,55.0,62.0,50.0
10,2015-07-01,56.0,55.0,62.0,50.0
11,2015-08-01,56.0,55.0,62.0,50.0
12,2015-09-01,56.0,55.0,62.0,50.0
13,2015-10-01,56.0,55.0,62.0,50.0
14,2015-11-01,56.0,55.0,62.0,50.0
15,2015-12-01,56.0,55.0,62.0,50.0
16,2016-01-01,56.38,55.04,61.66,49.56
17,2016-02-01,56.98,57.44,61.66,49.56
18,2016-03-01,56.98,57.44,61.66,49.56
19,2016-04-01,57.22,57.44,61.67,50.37
20,2016-05-01,57.22,57.44,61.67,50.37
21,2016-06-01,57.22,57.44,61.67,50.37
22,2016-07-01,57.22,57.44,61.67,50.37
23,2016-08-01,56.61,57.27,61.67,48.47
24,2016-09-01,56.61,57.27,61.67,48.47
25,2016-10-01,56.61,57.27,61.67,48.47
26,2016-11-01,56.04,57.27,61.67,46.57
27,2016-12-01,56.04,57.27,61.67,46.57
28,2017-01-01,56.04,57.27,61.67,46.57
29,2017-02-01,56.04,57.27,61.67,46.57
30,2017-03-01,56.04,57.27,61.67,46.57
31,2017-04-01,54.63,53.73,62.08,44.2
32,2017-05-01,54.63,53.73,62.08,44.2
33,2017-06-01,54.63,53.73,62.08,44.2
34,2017-07-01,54.63,53.73,62.08,44.2
35,2017-08-01,54.63,53.73,62.08,44.2
36,2017-09-01,53.5,53.73,62.08,40.45
37,2017-10-01,54.15,48.53,64.53,43.26
38,2017-11-01,54.15,48.53,64.53,43.26
39,2017-12-01,54.15,48.53,64.53,43.25
40,2018-01-01,54.15,48.53,64.53,43.25
41,2018-02-01,54.15,48.53,64.53,43.25
42,2018-03-01,54.15,48.53,64.53,43.25
43,2018-04-01,54.09,48.53,64.4,43.25
44,2018-05-01,61.33,60.78,70.07,48.69
45,2018-06-01,61.33,60.78,70.07,48.69
46,2018-07-01,61.33,60.78,70.07,48.69
47,2018-08-01,61.33,60.78,70.07,48.69
48,2018-09-01,60.53,57.55,70.07,48.69
49,2018-10-01,61.0,59.45,70.07,48.69
50,2018-11-01,59.43,53.15,70.07,48.69
51,2018-12-01,59.43,53.15,70.07,48.69
52,2019-01-01,59.43,53.15,70.07,48.69
53,2019-02-01,59.88,54.95,70.07,48.69
54,2019-03-01,59.88,54.95,70.07,48.69
55,2019-04-01,59.88,54.95,70.07,48.69
56,2019-05-01,59.88,54.95,70.07,48.69
57,2019-06-01,58.5,46.95,70.49,50.14
58,2019-07-01,58.5,46.95,70.49,50.14
59,2019-08-01,58.5,46.95,70.49,50.14
60,2019-09-01,58.5,46.95,70.49,50.14
61,2019-10-01,58.5,46.95,70.49,50.14
62,2019-11-01,58.5,46.95,70.49,50.14
63,2019-12-01,30.78,10.63,2.79,17.37
64,2020-01-01,31.37,11.22,2.79,17.37
65,2020-02-01,31.37,11.22,2.79,17.37
66,2020-03-01,31.37,11.22,2.79,17.37
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,31.07,11.01,2.75,17.31
71,2020-08-01,31.07,11.0,2.75,17.31
72,2020-09-01,,,,
73,2020-10-01,31.09,11.03,2.75,17.31
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,31.09,11.03,2.75,17.31
77,2021-02-01,31.09,11.03,2.75,17.31
78,2021-03-01,31.29,11.03,2.95,17.31
79,2021-04-01,,,,
80,2021-05-01,31.29,11.03,2.95,17.31
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,30.46,10.2,2.95,17.31
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,28.54,9.61,2.78,16.16
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,28.54,9.61,2.78,16.16
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,28.54,9.61,2.78,16.16
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,25.23,7.85,3.31,14.08
