,timestamp,esgScore,governanceScore,environmentScore,socialScore
1,2020-01-01,25.2,6.74,6.76,11.7
2,2020-02-01,25.15,6.74,6.91,11.5
3,2020-03-01,20.68,5.83,3.64,11.22
7,2020-07-01,20.24,5.52,3.5,11.22
8,2020-08-01,19.72,5.52,2.98,11.22
10,2020-10-01,14.63,5.38,7.12,2.13
13,2021-01-01,14.6,5.36,7.12,2.13
14,2021-02-01,14.6,5.36,7.12,2.13
15,2021-03-01,14.6,5.36,7.12,2.13
17,2021-05-01,14.6,5.36,7.12,2.13
21,2021-09-01,16.23,5.19,7.87,3.18
26,2022-02-01,15.68,5.19,7.31,3.18
29,2022-05-01,16.12,5.16,7.11,3.84
32,2022-08-01,16.12,5.16,7.11,3.84
37,2023-01-01,16.12,5.16,7.11,3.84
45,2023-09-01,15.2,5.11,4.39,5.71
