,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,47.0,48.0,49.0,43.0
1,2014-10-01,47.0,48.0,49.0,43.0
2,2014-11-01,51.0,51.0,53.0,48.0
3,2014-12-01,51.0,51.0,53.0,48.0
4,2015-01-01,51.0,51.0,53.0,48.0
5,2015-02-01,51.0,51.0,53.0,48.0
6,2015-03-01,51.0,51.0,53.0,48.0
7,2015-04-01,51.0,51.0,53.0,48.0
8,2015-05-01,51.0,51.0,53.0,48.0
9,2015-06-01,51.0,51.0,53.0,48.0
10,2015-07-01,51.0,51.0,53.0,48.0
11,2015-08-01,51.0,51.0,53.0,48.0
12,2015-09-01,51.0,51.0,53.0,48.0
13,2015-10-01,51.0,51.0,53.0,48.0
14,2015-11-01,51.0,51.0,53.0,48.0
15,2015-12-01,51.0,52.0,53.0,48.0
16,2016-01-01,50.97,51.83,52.73,47.77
17,2016-02-01,50.97,51.83,52.73,47.77
18,2016-03-01,50.97,51.83,52.73,47.77
19,2016-04-01,50.79,54.5,53.04,44.08
20,2016-05-01,50.79,54.5,53.04,44.08
21,2016-06-01,50.79,54.5,53.04,44.08
22,2016-07-01,50.79,54.5,53.04,44.08
23,2016-08-01,50.79,54.5,53.04,44.08
24,2016-09-01,50.79,54.5,53.04,44.08
25,2016-10-01,50.79,54.5,53.04,44.08
26,2016-11-01,50.79,54.5,53.04,44.08
27,2016-12-01,50.79,54.5,53.04,44.08
28,2017-01-01,50.76,58.89,51.97,41.03
29,2017-02-01,50.76,58.89,51.97,41.03
30,2017-03-01,50.76,58.89,51.97,41.03
31,2017-04-01,50.76,58.89,51.97,41.03
32,2017-05-01,50.76,58.89,51.97,41.03
33,2017-06-01,50.76,58.89,51.97,41.03
34,2017-07-01,50.76,58.89,51.97,41.03
35,2017-08-01,50.76,58.89,51.97,41.03
36,2017-09-01,50.76,58.89,51.97,41.03
37,2017-10-01,50.64,56.23,52.92,42.01
38,2017-11-01,50.64,56.23,52.92,42.01
39,2017-12-01,50.64,56.23,52.92,42.01
40,2018-01-01,50.64,56.23,52.92,42.01
41,2018-02-01,50.64,56.23,52.92,42.01
42,2018-03-01,50.83,54.69,52.92,44.19
43,2018-04-01,50.83,54.69,52.92,44.19
44,2018-05-01,50.83,54.69,52.92,44.19
45,2018-06-01,50.83,54.69,52.92,44.19
46,2018-07-01,50.83,54.69,52.92,44.19
47,2018-08-01,50.83,54.69,52.92,44.19
48,2018-09-01,50.83,54.69,52.92,44.19
49,2018-10-01,50.83,54.69,52.92,44.19
50,2018-11-01,50.83,54.69,52.92,44.19
51,2018-12-01,50.83,54.69,52.92,44.19
52,2019-01-01,50.83,54.69,52.92,44.19
53,2019-02-01,50.83,54.69,52.92,44.19
54,2019-03-01,50.83,54.69,52.92,44.19
55,2019-04-01,50.83,54.69,52.92,44.19
56,2019-05-01,50.83,54.69,52.92,44.19
57,2019-06-01,50.83,54.69,52.92,44.19
58,2019-07-01,50.83,54.69,52.92,44.19
59,2019-08-01,50.83,54.69,52.92,44.19
60,2019-09-01,50.83,54.69,52.92,44.19
61,2019-10-01,50.83,54.69,52.92,44.19
62,2019-11-01,50.47,53.47,52.92,44.19
63,2019-12-01,49.22,53.67,49.65,44.19
64,2020-01-01,18.86,6.2,5.74,6.91
65,2020-02-01,18.86,6.2,5.74,6.91
66,2020-03-01,18.86,6.2,5.74,6.91
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,13.66,5.67,3.77,4.23
71,2020-08-01,13.66,5.67,3.77,4.23
72,2020-09-01,,,,
73,2020-10-01,13.1,5.1,3.77,4.23
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,13.1,5.1,3.77,4.23
77,2021-02-01,13.1,5.1,3.77,4.23
78,2021-03-01,13.1,5.1,3.77,4.23
79,2021-04-01,,,,
80,2021-05-01,13.1,5.1,3.77,4.23
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,13.45,5.46,3.77,4.23
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,12.31,5.28,3.2,3.83
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,12.31,5.28,3.2,3.83
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,12.31,5.28,3.2,3.83
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,12.36,5.21,3.15,4.0
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,13.92,6.29,3.72,3.91
