,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,20.82,6.05,0.03,14.74
65,2020-02-01,20.82,6.05,0.03,14.74
66,2020-03-01,20.93,6.05,0.03,14.85
70,2020-07-01,20.79,5.91,0.03,14.85
71,2020-08-01,20.79,5.91,0.03,14.85
73,2020-10-01,21.15,5.76,0.03,15.36
76,2021-01-01,21.29,5.87,0.03,15.39
77,2021-02-01,21.29,5.87,0.03,15.39
78,2021-03-01,21.29,5.87,0.03,15.39
80,2021-05-01,20.87,5.45,0.03,15.39
84,2021-09-01,20.19,5.91,0.03,14.23
89,2022-02-01,17.44,5.89,0.03,11.52
92,2022-05-01,17.54,5.89,0.03,11.62
95,2022-08-01,17.54,5.89,0.03,11.62
108,2023-09-01,15.3,5.59,0.03,9.67
