,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,19.87,6.05,5.38,8.44
65,2020-02-01,21.22,6.2,5.48,9.54
66,2020-03-01,21.22,6.2,5.48,9.54
70,2020-07-01,21.34,6.2,5.62,9.53
71,2020-08-01,21.34,6.2,5.62,9.53
73,2020-10-01,21.34,6.2,5.62,9.53
76,2021-01-01,21.35,6.21,5.62,9.53
77,2021-02-01,21.35,6.21,5.62,9.53
78,2021-03-01,20.5,5.68,5.59,9.23
80,2021-05-01,20.5,5.68,5.59,9.23
84,2021-09-01,20.5,5.68,5.59,9.23
89,2022-02-01,20.16,5.31,5.59,9.26
92,2022-05-01,19.5,5.38,4.58,9.55
95,2022-08-01,19.5,5.38,4.58,9.55
108,2023-09-01,18.57,5.49,4.17,8.91
