,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,65.0,66.0,56.0,73.0
1,2014-10-01,65.0,66.0,56.0,73.0
2,2014-11-01,65.0,66.0,56.0,73.0
3,2014-12-01,65.0,66.0,56.0,73.0
4,2015-01-01,65.0,66.0,56.0,73.0
5,2015-02-01,65.0,66.0,56.0,73.0
6,2015-03-01,65.0,66.0,55.0,73.0
7,2015-04-01,65.0,66.0,55.0,73.0
8,2015-05-01,65.0,66.0,55.0,73.0
9,2015-06-01,70.0,67.0,68.0,73.0
10,2015-07-01,70.0,67.0,68.0,73.0
11,2015-08-01,70.0,67.0,68.0,73.0
12,2015-09-01,70.0,67.0,68.0,73.0
13,2015-10-01,70.0,67.0,67.0,73.0
14,2015-11-01,70.0,67.0,67.0,73.0
15,2015-12-01,70.0,67.0,68.0,73.0
16,2016-01-01,69.77,67.27,67.57,73.27
17,2016-02-01,69.77,67.27,67.57,73.27
18,2016-03-01,69.77,67.27,67.57,73.27
19,2016-04-01,67.14,67.28,67.57,66.67
20,2016-05-01,67.14,67.28,67.57,66.67
21,2016-06-01,67.14,67.28,67.57,66.67
22,2016-07-01,67.14,67.28,67.57,66.67
23,2016-08-01,67.14,67.28,67.57,66.67
24,2016-09-01,67.14,67.28,67.57,66.67
25,2016-10-01,67.14,67.28,67.57,66.67
26,2016-11-01,67.14,67.28,67.57,66.67
27,2016-12-01,67.14,67.28,67.57,66.67
28,2017-01-01,66.93,66.45,67.57,66.68
29,2017-02-01,66.93,66.45,67.57,66.68
30,2017-03-01,65.79,66.45,67.57,63.83
31,2017-04-01,55.98,59.46,53.5,55.97
32,2017-05-01,55.85,59.46,53.14,55.97
33,2017-06-01,55.85,59.46,53.14,55.97
34,2017-07-01,55.85,59.46,53.14,55.97
35,2017-08-01,55.85,59.46,53.14,55.97
36,2017-09-01,55.85,59.46,53.14,55.97
37,2017-10-01,54.8,54.7,53.47,56.04
38,2017-11-01,54.8,54.7,53.47,56.04
39,2017-12-01,54.8,54.7,53.47,56.04
40,2018-01-01,54.8,54.7,53.47,56.04
41,2018-02-01,54.8,54.7,53.47,56.04
42,2018-03-01,66.94,74.11,61.52,67.21
43,2018-04-01,66.94,74.11,61.52,67.21
44,2018-05-01,66.94,74.11,61.52,67.21
45,2018-06-01,66.94,74.11,61.52,67.21
46,2018-07-01,66.94,74.11,61.52,67.21
47,2018-08-01,66.19,74.11,59.38,67.21
48,2018-09-01,66.19,74.11,59.38,67.21
49,2018-10-01,66.19,74.11,59.38,67.21
50,2018-11-01,65.97,73.22,59.38,67.21
51,2018-12-01,66.18,73.22,59.97,67.21
52,2019-01-01,66.18,73.22,59.97,67.21
53,2019-02-01,66.18,73.22,59.97,67.21
54,2019-03-01,68.26,72.11,62.21,71.14
55,2019-04-01,68.26,72.11,62.21,71.14
56,2019-05-01,68.26,72.11,62.21,71.14
57,2019-06-01,68.26,72.11,62.21,71.14
58,2019-07-01,68.26,72.11,62.21,71.14
59,2019-08-01,68.26,72.11,62.21,71.14
60,2019-09-01,68.51,73.11,62.21,71.14
61,2019-10-01,67.71,69.91,62.21,71.14
62,2019-11-01,67.71,69.91,62.21,71.14
63,2019-12-01,65.95,71.68,59.04,68.42
64,2020-01-01,12.73,5.28,1.16,6.3
65,2020-02-01,12.73,5.28,1.16,6.3
66,2020-03-01,12.71,5.28,1.21,6.22
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,11.6,5.07,0.87,5.67
71,2020-08-01,11.18,4.64,0.87,5.67
72,2020-09-01,,,,
73,2020-10-01,11.2,4.67,0.87,5.67
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,11.29,4.67,0.87,5.75
77,2021-02-01,11.29,4.67,0.87,5.75
78,2021-03-01,11.29,4.67,0.87,5.75
79,2021-04-01,,,,
80,2021-05-01,11.42,4.79,0.87,5.75
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,12.73,4.96,0.94,6.83
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,12.73,4.96,0.94,6.83
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,12.74,4.97,0.94,6.83
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,12.84,5.07,0.94,6.83
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,12.89,5.07,0.9,6.91
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,14.04,4.99,0.84,8.21
