,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,59.0,71.0,46.0,63.0
1,2014-10-01,59.0,71.0,46.0,63.0
2,2014-11-01,59.0,71.0,46.0,63.0
3,2014-12-01,59.0,71.0,46.0,63.0
4,2015-01-01,59.0,69.0,46.0,65.0
5,2015-02-01,59.0,69.0,46.0,65.0
6,2015-03-01,59.0,69.0,47.0,64.0
7,2015-04-01,59.0,69.0,47.0,64.0
8,2015-05-01,59.0,69.0,47.0,64.0
9,2015-06-01,59.0,69.0,47.0,64.0
10,2015-07-01,59.0,69.0,47.0,64.0
11,2015-08-01,59.0,69.0,47.0,64.0
12,2015-09-01,59.0,69.0,47.0,64.0
13,2015-10-01,59.0,69.0,47.0,64.0
14,2015-11-01,59.0,69.0,47.0,64.0
15,2015-12-01,58.0,62.0,48.0,63.0
16,2016-01-01,57.55,62.15,48.0,63.03
17,2016-02-01,57.55,62.15,48.0,63.03
18,2016-03-01,57.55,62.15,48.0,63.03
19,2016-04-01,56.09,62.15,48.71,58.77
20,2016-05-01,56.09,62.15,48.71,58.77
21,2016-06-01,56.09,62.15,48.71,58.77
22,2016-07-01,56.09,62.15,48.71,58.77
23,2016-08-01,56.09,62.15,48.71,58.77
24,2016-09-01,56.12,62.15,48.71,58.84
25,2016-10-01,56.12,62.15,48.71,58.84
26,2016-11-01,56.12,62.15,48.71,58.84
27,2016-12-01,56.12,62.15,48.71,58.84
28,2017-01-01,54.06,62.15,48.0,54.3
29,2017-02-01,54.06,62.15,48.0,54.3
30,2017-03-01,54.06,62.15,48.0,54.3
31,2017-04-01,54.06,62.15,48.0,54.3
32,2017-05-01,54.06,62.15,48.0,54.3
33,2017-06-01,54.06,62.15,48.0,54.3
34,2017-07-01,54.06,62.15,48.0,54.3
35,2017-08-01,54.06,62.15,48.0,54.3
36,2017-09-01,54.06,62.15,48.0,54.3
37,2017-10-01,54.2,60.35,49.82,54.19
38,2017-11-01,54.2,60.35,49.82,54.19
39,2017-12-01,54.2,60.35,49.82,54.19
40,2018-01-01,54.2,60.35,49.82,54.19
41,2018-02-01,54.2,60.35,49.82,54.19
42,2018-03-01,54.2,60.35,49.82,54.19
43,2018-04-01,54.2,60.35,49.82,54.19
44,2018-05-01,54.2,60.35,49.82,54.19
45,2018-06-01,55.22,65.85,49.82,53.29
46,2018-07-01,55.22,65.85,49.82,53.29
47,2018-08-01,55.22,65.85,49.82,53.29
48,2018-09-01,55.22,65.85,49.82,53.29
49,2018-10-01,55.22,65.85,49.82,53.29
50,2018-11-01,55.22,65.85,49.82,53.29
51,2018-12-01,55.22,65.85,49.82,53.29
52,2019-01-01,55.22,65.85,49.82,53.29
53,2019-02-01,55.22,65.85,49.82,53.29
54,2019-03-01,55.22,65.85,49.82,53.29
55,2019-04-01,55.22,65.85,49.82,53.29
56,2019-05-01,55.22,65.85,49.82,53.29
57,2019-06-01,55.22,65.85,49.82,53.29
58,2019-07-01,55.22,65.85,49.82,53.29
59,2019-08-01,55.37,66.45,49.82,53.29
60,2019-09-01,52.37,66.45,41.25,53.29
61,2019-10-01,52.37,66.45,41.25,53.29
62,2019-11-01,50.3,67.45,41.6,47.19
63,2019-12-01,50.37,66.45,42.52,47.19
64,2020-01-01,37.28,5.45,21.93,9.89
65,2020-02-01,37.23,5.4,21.93,9.89
66,2020-03-01,37.23,5.4,21.93,9.89
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,37.24,5.39,21.93,9.92
71,2020-08-01,37.24,5.39,21.93,9.92
72,2020-09-01,,,,
73,2020-10-01,37.26,5.41,21.93,9.92
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,28.25,5.41,15.97,6.87
77,2021-02-01,28.25,5.41,15.97,6.87
78,2021-03-01,28.25,5.41,15.97,6.87
79,2021-04-01,,,,
80,2021-05-01,28.4,5.41,16.12,6.87
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,,,,
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,30.84,4.88,18.74,7.23
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,30.94,4.98,18.74,7.23
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,30.05,4.65,18.18,7.23
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,32.56,4.99,20.15,7.42
