,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,21.73,7.04,0.11,14.58
65,2020-02-01,21.73,7.04,0.11,14.58
66,2020-03-01,21.73,7.04,0.11,14.58
70,2020-07-01,21.12,6.44,0.11,14.58
71,2020-08-01,21.12,6.44,0.11,14.58
73,2020-10-01,21.14,6.46,0.11,14.58
76,2021-01-01,21.14,6.46,0.11,14.58
77,2021-02-01,21.24,6.46,0.11,14.68
78,2021-03-01,21.24,6.46,0.11,14.68
80,2021-05-01,21.24,6.46,0.11,14.68
84,2021-09-01,21.4,6.46,0.11,14.84
89,2022-02-01,20.01,6.41,0.11,13.5
92,2022-05-01,20.01,6.41,0.11,13.5
95,2022-08-01,20.01,6.41,0.11,13.5
100,2023-01-01,19.3,5.7,0.11,13.5
108,2023-09-01,17.53,4.98,0.05,12.49
