,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,69.0,78.0,61.0,68.0
1,2014-10-01,68.0,78.0,61.0,68.0
2,2014-11-01,69.0,78.0,61.0,68.0
3,2014-12-01,69.0,78.0,61.0,68.0
4,2015-01-01,69.0,78.0,61.0,68.0
5,2015-02-01,69.0,78.0,61.0,68.0
6,2015-03-01,67.0,78.0,63.0,61.0
7,2015-04-01,67.0,78.0,63.0,61.0
8,2015-05-01,67.0,78.0,63.0,61.0
9,2015-06-01,67.0,78.0,63.0,61.0
10,2015-07-01,67.0,78.0,63.0,61.0
11,2015-08-01,65.0,82.0,58.0,58.0
12,2015-09-01,65.0,82.0,58.0,58.0
13,2015-10-01,62.0,82.0,58.0,51.0
14,2015-11-01,62.0,82.0,58.0,51.0
15,2015-12-01,62.0,82.0,58.0,51.0
16,2016-01-01,62.07,81.69,57.84,51.33
17,2016-02-01,62.07,81.69,57.84,51.33
18,2016-03-01,62.07,81.69,57.84,51.33
19,2016-04-01,56.7,80.34,57.81,40.5
20,2016-05-01,56.7,80.34,57.81,40.5
21,2016-06-01,56.43,80.34,56.73,40.5
22,2016-07-01,56.29,80.34,56.19,40.5
23,2016-08-01,56.29,80.34,56.19,40.5
24,2016-09-01,56.29,80.34,56.19,40.5
25,2016-10-01,56.29,80.34,56.19,40.5
26,2016-11-01,56.29,80.34,56.19,40.5
27,2016-12-01,56.29,80.34,56.19,40.5
28,2017-01-01,54.42,73.93,59.12,38.81
29,2017-02-01,54.42,73.93,59.12,38.81
30,2017-03-01,54.42,73.93,59.12,38.81
31,2017-04-01,54.42,73.93,59.12,38.81
32,2017-05-01,54.42,73.93,59.12,38.81
33,2017-06-01,54.42,73.93,59.12,38.81
34,2017-07-01,54.42,73.93,59.12,38.81
35,2017-08-01,54.42,73.93,59.12,38.81
36,2017-09-01,54.42,73.93,59.12,38.81
37,2017-10-01,52.96,66.57,61.95,38.9
38,2017-11-01,52.96,66.57,61.95,38.9
39,2017-12-01,52.96,66.57,61.95,38.9
40,2018-01-01,50.53,57.12,63.56,38.9
41,2018-02-01,50.53,57.12,63.56,38.9
42,2018-03-01,50.53,57.12,63.56,38.9
43,2018-04-01,50.53,57.12,63.56,38.9
44,2018-05-01,50.53,57.12,63.56,38.9
45,2018-06-01,50.53,57.12,63.56,38.9
46,2018-07-01,50.53,57.12,63.56,38.9
47,2018-08-01,50.53,57.12,63.56,38.9
48,2018-09-01,50.53,57.12,63.56,38.9
49,2018-10-01,50.47,56.93,63.56,38.9
50,2018-11-01,50.47,56.93,63.56,38.9
51,2018-12-01,50.47,56.93,63.56,38.9
52,2019-01-01,50.39,55.75,64.65,38.9
53,2019-02-01,50.39,55.75,64.65,38.9
54,2019-03-01,50.39,55.75,64.65,38.9
55,2019-04-01,50.39,55.75,64.65,38.9
56,2019-05-01,51.7,55.75,69.87,38.9
57,2019-06-01,51.7,55.75,69.87,38.9
58,2019-07-01,51.7,55.75,69.87,38.9
59,2019-08-01,51.7,55.75,69.87,38.9
60,2019-09-01,51.7,55.75,69.87,38.9
61,2019-10-01,52.23,57.55,69.87,38.9
62,2019-11-01,52.23,57.55,69.87,38.9
63,2019-12-01,52.02,58.47,66.88,39.46
64,2020-01-01,19.57,6.81,1.59,11.18
65,2020-02-01,19.57,6.81,1.59,11.18
66,2020-03-01,19.57,6.81,1.59,11.18
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,19.36,6.59,1.59,11.18
71,2020-08-01,19.36,6.59,1.59,11.18
72,2020-09-01,,,,
73,2020-10-01,18.03,5.88,1.48,10.67
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,18.03,5.88,1.48,10.67
77,2021-02-01,18.03,5.88,1.48,10.67
78,2021-03-01,18.03,5.88,1.48,10.67
79,2021-04-01,,,,
80,2021-05-01,18.03,5.88,1.48,10.67
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,18.29,6.14,1.48,10.67
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,18.29,6.14,1.48,10.67
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,17.02,6.25,1.37,9.4
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,17.01,6.24,1.37,9.4
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,17.01,6.24,1.37,9.4
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,14.62,5.09,1.35,8.19
