,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,32.77,5.67,17.16,9.94
65,2020-02-01,32.77,5.67,17.16,9.94
66,2020-03-01,32.77,5.67,17.16,9.94
70,2020-07-01,32.62,5.68,17.71,9.24
71,2020-08-01,32.62,5.68,17.71,9.24
73,2020-10-01,32.17,5.22,17.71,9.24
76,2021-01-01,32.32,5.22,17.85,9.24
77,2021-02-01,32.32,5.22,17.85,9.24
78,2021-03-01,32.32,5.22,17.85,9.24
80,2021-05-01,32.32,5.22,17.85,9.24
84,2021-09-01,32.53,5.43,17.85,9.24
89,2022-02-01,27.52,5.43,14.68,7.4
92,2022-05-01,27.52,5.43,14.68,7.4
95,2022-08-01,27.52,5.43,14.68,7.4
100,2023-01-01,27.36,5.27,14.68,7.4
108,2023-09-01,27.46,5.13,13.36,8.96
