,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,54.0,60.0,54.0,48.0
1,2014-10-01,54.0,60.0,54.0,48.0
2,2014-11-01,54.0,60.0,54.0,48.0
3,2014-12-01,60.0,63.0,63.0,53.0
4,2015-01-01,60.0,63.0,63.0,53.0
5,2015-02-01,63.0,63.0,64.0,61.0
6,2015-03-01,63.0,63.0,65.0,59.0
7,2015-04-01,63.0,63.0,65.0,59.0
8,2015-05-01,63.0,63.0,65.0,59.0
9,2015-06-01,63.0,63.0,65.0,59.0
10,2015-07-01,63.0,63.0,65.0,59.0
11,2015-08-01,63.0,63.0,65.0,59.0
12,2015-09-01,63.0,63.0,65.0,59.0
13,2015-10-01,63.0,63.0,65.0,59.0
14,2015-11-01,63.0,63.0,65.0,59.0
15,2015-12-01,60.0,62.0,58.0,59.0
16,2016-01-01,59.63,62.04,58.27,59.02
17,2016-02-01,59.63,62.04,58.27,59.02
18,2016-03-01,59.63,62.04,58.27,59.02
19,2016-04-01,59.59,65.03,58.27,55.92
20,2016-05-01,59.59,65.03,58.27,55.92
21,2016-06-01,59.59,65.03,58.27,55.92
22,2016-07-01,59.59,65.03,58.27,55.92
23,2016-08-01,59.59,65.03,58.27,55.92
24,2016-09-01,59.59,65.03,58.27,55.92
25,2016-10-01,59.59,65.03,58.27,55.92
26,2016-11-01,59.59,65.03,58.27,55.92
27,2016-12-01,59.59,65.03,58.27,55.92
28,2017-01-01,58.56,65.03,57.27,53.83
29,2017-02-01,58.56,65.03,57.27,53.83
30,2017-03-01,58.56,65.03,57.27,53.83
31,2017-04-01,64.56,69.32,63.93,60.65
32,2017-05-01,64.83,69.32,64.61,60.65
33,2017-06-01,64.83,69.32,64.61,60.65
34,2017-07-01,64.83,69.32,64.61,60.65
35,2017-08-01,64.83,69.32,64.61,60.65
36,2017-09-01,64.83,69.32,64.61,60.65
37,2017-10-01,65.51,70.58,64.59,61.65
38,2017-11-01,65.51,70.58,64.59,61.65
39,2017-12-01,65.51,70.58,64.59,61.65
40,2018-01-01,65.51,70.58,64.59,61.65
41,2018-02-01,65.51,70.58,64.59,61.65
42,2018-03-01,65.51,70.58,64.59,61.65
43,2018-04-01,65.51,70.58,64.59,61.65
44,2018-05-01,65.51,70.58,64.59,61.65
45,2018-06-01,66.12,69.25,66.02,63.13
46,2018-07-01,66.12,69.25,66.02,63.13
47,2018-08-01,66.12,69.25,66.02,63.13
48,2018-09-01,66.12,69.25,66.02,63.13
49,2018-10-01,66.15,69.34,66.02,63.13
50,2018-11-01,66.23,69.61,66.02,63.13
51,2018-12-01,66.23,69.61,66.02,63.13
52,2019-01-01,66.23,69.61,66.02,63.13
53,2019-02-01,66.23,69.61,66.02,63.13
54,2019-03-01,65.96,69.61,65.34,63.13
55,2019-04-01,65.96,69.61,65.34,63.13
56,2019-05-01,64.22,70.63,64.65,57.25
57,2019-06-01,64.22,70.63,64.65,57.25
58,2019-07-01,64.22,70.63,64.65,57.25
59,2019-08-01,64.22,70.63,64.65,57.25
60,2019-09-01,64.22,70.63,64.65,57.25
61,2019-10-01,64.22,70.63,64.65,57.25
62,2019-11-01,64.13,70.34,64.65,57.25
63,2019-12-01,61.61,69.73,58.81,57.24
64,2020-01-01,15.79,6.14,4.67,4.97
65,2020-02-01,15.79,6.14,4.67,4.97
66,2020-03-01,15.79,6.14,4.67,4.97
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,15.65,6.01,4.67,4.97
71,2020-08-01,15.65,6.01,4.67,4.97
72,2020-09-01,,,,
73,2020-10-01,11.49,4.98,3.51,3.0
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,11.47,4.96,3.51,3.0
77,2021-02-01,11.47,4.96,3.51,3.0
78,2021-03-01,11.63,5.12,3.51,3.0
79,2021-04-01,,,,
80,2021-05-01,11.79,5.12,3.47,3.2
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,11.31,4.64,3.47,3.2
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,12.0,4.91,3.87,3.22
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,12.01,4.92,3.87,3.22
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,12.01,4.92,3.87,3.22
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,12.01,4.92,3.87,3.22
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,13.23,5.5,4.24,3.49
