,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,28.81,7.68,3.52,17.6
65,2020-02-01,28.81,7.68,3.52,17.6
66,2020-03-01,28.81,7.68,3.52,17.6
70,2020-07-01,28.39,6.94,3.84,17.6
71,2020-08-01,28.39,6.94,3.84,17.6
73,2020-10-01,28.72,7.14,3.97,17.6
76,2021-01-01,27.29,6.91,3.19,17.2
77,2021-02-01,27.51,6.91,3.4,17.2
78,2021-03-01,27.51,6.91,3.4,17.2
80,2021-05-01,27.51,6.91,3.4,17.2
84,2021-09-01,27.23,6.51,3.4,17.32
89,2022-02-01,27.42,6.31,4.4,16.72
92,2022-05-01,27.42,6.31,4.4,16.72
95,2022-08-01,24.63,6.31,4.4,13.92
108,2023-09-01,25.26,7.05,5.86,12.36
