,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,28.07,10.58,3.6,13.9
65,2020-02-01,26.34,10.58,3.6,12.17
66,2020-03-01,26.72,11.8,3.61,11.31
70,2020-07-01,26.72,11.8,3.61,11.31
71,2020-08-01,26.72,11.8,3.61,11.31
73,2020-10-01,26.75,11.82,3.61,11.31
76,2021-01-01,26.75,11.54,3.53,11.69
77,2021-02-01,26.75,11.54,3.53,11.69
78,2021-03-01,26.75,11.54,3.53,11.69
80,2021-05-01,27.38,11.54,4.16,11.69
84,2021-09-01,27.38,11.54,4.16,11.69
89,2022-02-01,26.5,10.98,3.55,11.98
92,2022-05-01,26.4,10.87,3.55,11.98
95,2022-08-01,26.5,10.98,3.55,11.98
100,2023-01-01,26.49,10.96,3.55,11.98
108,2023-09-01,25.7,10.58,3.37,11.75
