,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,57.0,70.0,50.0,51.0
1,2014-10-01,57.0,70.0,50.0,51.0
2,2014-11-01,57.0,70.0,50.0,51.0
3,2014-12-01,57.0,70.0,50.0,51.0
4,2015-01-01,58.0,70.0,55.0,51.0
5,2015-02-01,58.0,70.0,55.0,51.0
6,2015-03-01,59.0,70.0,58.0,51.0
7,2015-04-01,59.0,70.0,58.0,51.0
8,2015-05-01,59.0,70.0,58.0,51.0
9,2015-06-01,59.0,70.0,58.0,51.0
10,2015-07-01,59.0,70.0,58.0,51.0
11,2015-08-01,59.0,70.0,58.0,51.0
12,2015-09-01,59.0,70.0,58.0,51.0
13,2015-10-01,59.0,70.0,58.0,51.0
14,2015-11-01,59.0,70.0,58.0,51.0
15,2015-12-01,60.0,63.0,60.0,58.0
16,2016-01-01,59.77,63.41,59.5,57.5
17,2016-02-01,59.77,63.41,59.5,57.5
18,2016-03-01,59.77,63.41,59.5,57.5
19,2016-04-01,57.33,63.42,58.5,52.63
20,2016-05-01,57.33,63.42,58.5,52.63
21,2016-06-01,57.33,63.42,58.5,52.63
22,2016-07-01,57.33,63.42,58.5,52.63
23,2016-08-01,57.33,63.42,58.5,52.63
24,2016-09-01,57.33,63.42,58.5,52.63
25,2016-10-01,57.33,63.42,58.5,52.63
26,2016-11-01,57.33,63.42,58.5,52.63
27,2016-12-01,57.33,63.42,58.5,52.63
28,2017-01-01,56.19,60.17,58.5,52.24
29,2017-02-01,56.19,60.17,58.5,52.24
30,2017-03-01,56.19,60.17,58.5,52.24
31,2017-04-01,56.19,60.17,58.5,52.24
32,2017-05-01,56.56,60.17,60.0,52.24
33,2017-06-01,56.56,60.17,60.0,52.24
34,2017-07-01,56.56,60.17,60.0,52.24
35,2017-08-01,56.56,60.17,60.0,52.24
36,2017-09-01,56.56,60.17,60.0,52.24
37,2017-10-01,56.33,58.0,61.4,52.39
38,2017-11-01,56.33,58.0,61.4,52.39
39,2017-12-01,56.33,58.0,61.4,52.39
40,2018-01-01,55.07,56.75,63.1,49.49
41,2018-02-01,55.07,56.75,63.1,49.49
42,2018-03-01,55.07,56.75,63.1,49.49
43,2018-04-01,55.07,56.75,63.1,49.49
44,2018-05-01,55.07,56.75,63.1,49.49
45,2018-06-01,55.07,56.75,63.1,49.49
46,2018-07-01,55.07,56.75,63.1,49.49
47,2018-08-01,55.07,56.75,63.1,49.49
48,2018-09-01,55.07,56.75,63.1,49.49
49,2018-10-01,55.07,56.75,63.1,49.49
50,2018-11-01,55.17,57.08,63.1,49.49
51,2018-12-01,55.17,57.08,63.1,49.49
52,2019-01-01,55.17,57.08,63.1,49.49
53,2019-02-01,55.17,57.08,63.1,49.49
54,2019-03-01,57.42,61.25,67.1,49.49
55,2019-04-01,57.82,62.58,67.1,49.49
56,2019-05-01,57.82,62.58,67.1,49.49
57,2019-06-01,57.82,62.58,67.1,49.49
58,2019-07-01,57.82,62.58,67.1,49.49
59,2019-08-01,57.82,62.58,67.1,49.49
60,2019-09-01,57.82,62.58,67.1,49.49
61,2019-10-01,57.82,62.58,67.1,49.49
62,2019-11-01,57.82,62.58,67.1,49.49
63,2019-12-01,56.37,61.42,62.7,49.49
64,2020-01-01,20.26,6.59,3.15,10.51
65,2020-02-01,20.43,6.76,3.15,10.51
66,2020-03-01,20.43,6.76,3.15,10.51
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,20.48,6.76,3.15,10.57
71,2020-08-01,20.48,6.76,3.15,10.57
72,2020-09-01,,,,
73,2020-10-01,20.5,6.79,3.15,10.57
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,20.09,6.52,3.15,10.42
77,2021-02-01,20.07,6.51,3.15,10.42
78,2021-03-01,20.07,6.51,3.15,10.42
79,2021-04-01,,,,
80,2021-05-01,20.07,6.51,3.15,10.42
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,20.07,6.51,3.15,10.42
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,20.12,6.55,3.15,10.42
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,15.92,6.83,2.21,6.88
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,16.03,6.96,2.21,6.86
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,15.78,6.71,2.21,6.86
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,14.88,6.31,2.11,6.46
