,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,20.26,5.32,4.09,10.86
65,2020-02-01,18.12,4.43,3.27,10.42
66,2020-03-01,18.12,4.43,3.27,10.42
70,2020-07-01,18.12,4.42,3.16,10.54
71,2020-08-01,18.12,4.42,3.16,10.54
73,2020-10-01,18.14,4.45,3.16,10.54
76,2021-01-01,17.96,4.45,3.16,10.36
77,2021-02-01,21.31,4.42,3.99,12.9
78,2021-03-01,21.31,4.42,3.99,12.9
80,2021-05-01,21.31,4.42,3.99,12.9
84,2021-09-01,21.69,4.8,3.99,12.9
89,2022-02-01,21.68,4.7,3.9,13.08
92,2022-05-01,21.12,5.07,4.4,11.65
95,2022-08-01,20.55,4.44,4.46,11.65
108,2023-09-01,20.1,4.12,4.53,11.45
