,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,33.71,11.47,3.8,18.46
65,2020-02-01,33.84,11.65,3.8,18.4
66,2020-03-01,33.83,11.23,3.8,18.81
70,2020-07-01,34.56,10.9,4.79,18.87
71,2020-08-01,34.47,10.78,4.79,18.9
73,2020-10-01,34.16,10.46,4.79,18.9
76,2021-01-01,34.16,10.46,4.79,18.9
77,2021-02-01,34.16,10.46,4.79,18.9
78,2021-03-01,34.16,10.46,4.79,18.9
80,2021-05-01,34.16,10.46,4.79,18.9
84,2021-09-01,28.08,9.93,4.53,13.62
89,2022-02-01,28.08,9.93,4.53,13.62
92,2022-05-01,28.08,9.93,4.53,13.62
95,2022-08-01,27.3,8.24,4.46,14.6
100,2023-01-01,27.3,8.24,4.46,14.6
108,2023-09-01,26.02,7.89,3.6,14.52
