,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,28.3,11.62,2.72,13.95
65,2020-02-01,28.3,11.62,2.72,13.95
66,2020-03-01,28.3,11.62,2.72,13.95
70,2020-07-01,28.08,11.35,2.72,14.0
71,2020-08-01,28.08,11.35,2.72,14.0
73,2020-10-01,28.1,11.37,2.72,14.0
76,2021-01-01,24.26,11.6,2.34,10.33
77,2021-02-01,24.26,11.6,2.34,10.33
78,2021-03-01,24.11,11.45,2.34,10.33
80,2021-05-01,19.07,9.29,1.51,8.27
84,2021-09-01,18.27,9.19,1.38,7.7
89,2022-02-01,18.18,9.1,1.38,7.7
92,2022-05-01,18.18,9.1,1.38,7.7
95,2022-08-01,18.47,8.95,1.38,8.15
108,2023-09-01,18.77,8.72,3.24,6.81
